step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,num_classes,input_dim,n_runs,lr,device,save_results,seed,dataset,project,layers
49,0.9907000005245208,0.0053173352554242,0.8535500049591065,0.0238552512779631,10,1000,10,0.01,0,True,42,synthetic,mlp-synthetic-sgd,10_10
49,0.9996800005435944,0.0001989909721291,0.9144999980926514,0.0084113009852668,10,1000,10,0.01,0,True,42,synthetic,mlp-synthetic-sgd,20_20
49,0.99996999502182,4.583336124501169e-05,0.9383500039577484,0.0058311644033876,10,1000,10,0.01,0,True,42,synthetic,mlp-synthetic-sgd,41_41
49,0.6827400028705597,0.0854422487815373,0.5628499954938888,0.0598669498120603,10,1000,10,0.01,0,True,42,synthetic,mlp-synthetic-sgd,5_5
49,1.0,0.0,0.9450500071048736,0.0060350986724577,10,1000,10,0.01,0,True,42,synthetic,mlp-synthetic-sgd,98_98
