algo_layer,algo_perc,binarize_dataset,bs,dataset,device,epoch_interval_switch,epochs,freeze_first,freeze_last,grouping_factor,input_dim,k,layers,log,n_runs,prob_reinforcement,prob_update,project,rescale,rm_pixel,rob,same_random_classifier,save_results,seed,thermometer_bits,thetam,train_dim,val_dim,step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc
baldassi,cp+r,False,100,prototypes,0,0,50,False,True,1,,1,165_15,False,10,0.5,1,bnn-prototypes-baldassi,False,False,3,False,True,42,0,0,,2000,50.0,95.919,0.5109099725000488,74.03999999999999,1.8806647760831805
baldassi,cp+r,False,100,prototypes,0,0,50,False,True,1,,1,330_30,False,10,0.5,1,bnn-prototypes-baldassi,False,False,7,False,True,42,0,0,,2000,50.0,99.47799999999998,0.0963119930226771,84.49000000000001,0.9052071586106684
baldassi,cp+r,False,100,prototypes,0,0,50,False,True,1,,1,44_4,False,10,0.5,1,bnn-prototypes-baldassi,False,False,1,False,True,42,0,0,,2000,50.0,60.419,7.508571701728634,43.64,4.953271646094125
baldassi,cp+r,False,100,prototypes,0,0,50,False,True,1,,1,814_74,False,10,0.5,1,bnn-prototypes-baldassi,False,False,18,False,True,42,0,0,,2000,50.0,99.985,0.0128452325786628,90.62,0.7284229540589743
baldassi,cp+r,False,100,prototypes,0,0,50,False,True,1,,1,88_8,False,10,0.5,1,bnn-prototypes-baldassi,False,False,2,False,True,42,0,0,,2000,50.0,84.925,3.465493471354404,61.205000000000005,2.5333229166452527
