step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,epochs,input_dim,algo_perc,seed,device,rescale,thetam,binarize_dataset,thermometer_bits,algo_layer,prob_reinforcement,bs,freeze_last,k,n_runs,grouping_factor,same_random_classifier,log,save_results,freeze_first,train_dim,layers,rm_pixel,project,prob_update,dataset,rob,epoch_interval_switch,val_dim
50.0,99.812,0.0252190404258345,94.80499999999998,0.5115906566777796,50,,cp+r,42,0,False,0,False,0,one,0.5,100,False,1,10,105,False,False,True,False,,525_525,False,bnn-synthetic-localloss-train-out,1,synthetic,131,0,2000
50.0,92.15,0.3148332892182812,81.95500000000001,0.7627089877535186,50,,cp+r,42,0,False,0,False,0,one,0.5,100,False,1,10,35,False,False,True,False,,35_35,False,bnn-synthetic-localloss-train-out,1,synthetic,8,0,2000
50.0,99.714,0.0613514466007098,92.175,0.5153882032022085,50,,cp+r,42,0,False,0,False,0,one,0.5,100,False,1,10,45,False,False,True,False,,135_135,False,bnn-synthetic-localloss-train-out,1,synthetic,33,0,2000
