step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,input_dim,project,layers,device,save_results,seed,num_classes,dataset,n_runs,lr
49,0.9997575044631958,7.58673253061965e-05,0.5534800052642822,0.0032639933952316,9216,mlp-bcifar100tl-sgd,145_145,0,True,42,100,bcifar100tl,10,0.01
49,0.9997150063514708,7.76233886282201e-05,0.5716599881649017,0.0042631446525195,9216,mlp-bcifar100tl-sgd,312_312,0,True,42,100,bcifar100tl,10,0.01
49,0.9997250139713288,5.591097572810422e-05,0.4333099991083145,0.0076158335475474,9216,mlp-bcifar100tl-sgd,33_33,0,True,42,100,bcifar100tl,10,0.01
49,0.9996950089931488,6.875004186751753e-05,0.5135000050067902,0.0055805063551736,9216,mlp-bcifar100tl-sgd,70_70,0,True,42,100,bcifar100tl,10,0.01
49,0.9997450113296508,6.874093883039064e-05,0.5825700044631958,0.0038343348109479,9216,mlp-bcifar100tl-sgd,715_715,0,True,42,100,bcifar100tl,10,0.01
