step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
35,0.902884006500244,0.0012748567785632,0.8686299979686737,0.0036241029199664,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
36,0.9042340040206908,0.0011562966625179,0.8687900006771088,0.0037283904841191,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
37,0.9056859970092772,0.0011839241994795,0.8690899968147278,0.0038198079520661,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
38,0.9068840026855468,0.0011902227498841,0.8694700002670288,0.0037560772841377,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
39,0.9081659972667694,0.0012559589468594,0.8694400072097779,0.0036865211713517,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
40,0.9093360126018524,0.0013674991348699,0.8697200000286103,0.0037862507745884,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
41,0.9106100022792816,0.0013647746354067,0.8699400007724762,0.0038709736839101,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
42,0.9119840025901794,0.0013649838981194,0.8701699912548065,0.0040603053202761,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
43,0.9132759988307952,0.0013206531374974,0.8699900031089782,0.003829478659668,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
44,0.9144979894161224,0.0013391165023043,0.8698500037193299,0.0040951681452736,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
45,0.9157220005989076,0.0013876060129293,0.8700700044631958,0.0041117119514156,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
46,0.9170159995555878,0.0014133069061384,0.8700500011444092,0.0041759401352829,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
47,0.9181819975376128,0.0015536659403679,0.8698400020599365,0.0040512284544276,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
48,0.9194199979305268,0.0016005307725522,0.8698499977588654,0.0041226794785822,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
49,0.9206759929656982,0.0015906705356287,0.8698299944400787,0.0042544145284435,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
0,0.4802639991044998,0.0481859409809801,0.6891799986362457,0.032449428401295,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
1,0.7407899975776673,0.01243099124496,0.7669600009918213,0.0100226962529859,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
2,0.7841060101985932,0.0078138109521088,0.7910000026226044,0.0093617308978484,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
3,0.8030739963054657,0.0064723785641673,0.8039499998092652,0.0086604016568752,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
4,0.8146360039710998,0.0054511900283151,0.8130699992179871,0.0077454645052733,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
5,0.8226200044155121,0.0044948826404941,0.8185900032520295,0.0066447658673656,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
6,0.8285280048847199,0.0042151188987991,0.8233600080013275,0.0064752053041882,0.01,42,11_11,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
