step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
32,1.0,0.0,0.9253388285636902,0.0023169814710701,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
33,1.0,0.0,0.9253093659877776,0.0022137021431308,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
34,1.0,0.0,0.9253977537155152,0.0022314733564805,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
35,1.0,0.0,0.9254272282123566,0.0023104184817805,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
36,1.0,0.0,0.9254272282123566,0.0023587571677124,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
37,1.0,0.0,0.9254861533641816,0.0024383785425783,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
38,1.0,0.0,0.9255156219005584,0.0024431854589908,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
39,1.0,0.0,0.9255156219005584,0.0023783710883297,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
40,1.0,0.0,0.9255156219005584,0.0025611421808452,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
41,1.0,0.0,0.925604009628296,0.0025761805419913,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
42,1.0,0.0,0.9255745470523834,0.0026061643507367,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
43,1.0,0.0,0.925515615940094,0.0026181328929275,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
44,1.0,0.0,0.925574541091919,0.0026687055190498,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
45,1.0,0.0,0.925633466243744,0.0025928118012507,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
46,1.0,0.0,0.925574541091919,0.002596157256294,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
47,1.0,0.0,0.9256334722042084,0.0026293769054326,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
48,1.0,0.0,0.9256629347801208,0.0025755066907037,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
49,1.0,0.0,0.9257807850837708,0.0026466531193147,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
0,0.810289990901947,0.0043848549997706,0.8925751328468323,0.0051256714269426,0.01,0.0,42,1035_1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
