step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,seed,train_dim,freeze_first,rob,freeze_last,prob_update,project,layers,log,device,dataset,binarize_dataset,grouping_factor,prob_reinforcement,same_random_classifier,val_dim,thermometer_bits,epoch_interval_switch,algo_perc,bs,k,input_dim,rm_pixel,algo_layer,thetam,epochs,n_runs,save_results,rescale,weight_clip
50.0,20.454,0.9499284183558254,20.739540365350617,3.4704369216948856,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,1
50.0,97.475,0.1333604139165738,88.59457866823807,0.372795159189736,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,128
50.0,86.084,0.2479193417222643,84.79670005892751,0.5445616995709104,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,16
50.0,93.346,0.3433423947024279,88.1791396582204,0.5688566161331942,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,32
50.0,97.358,0.1869117438792963,89.12787271655864,0.3877591956714701,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,64
50.0,71.404,1.6120930494236363,72.41308190925163,2.411066451535519,42,,False,33,True,1,bnn-imagenettetl-localloss-forget,135_135,False,0,imagenettetl,True,135,0.5,False,3394,0,0,cp+r,100,1,,False,one,0,50,10,True,False,8
