step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
0.0,9.872,1.3111887735944054,9.71714790807307,1.19441298995873,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
1.0,60.49000000000001,0.6396874236687802,79.67589864466706,0.9941825201632604,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
2.0,83.888,0.4298092600212326,85.58632881555687,0.4929877801821551,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
3.0,87.233,0.2729853475921354,86.93576900412494,0.6427152954359909,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
4.0,88.863,0.1654720520208739,87.63700648202709,0.4688720173136732,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
5.0,89.91300000000001,0.2302194605153939,88.14378314672953,0.5042006034326987,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
6.0,90.66,0.3001333037168667,88.6652916912198,0.4998516174489835,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
7.0,91.39,0.1582403235588167,88.91573364761344,0.4387627688623765,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
8.0,91.994,0.144166570327522,89.13376546847377,0.4193387595676437,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
9.0,92.511,0.193362354143714,89.20153211549794,0.4778673020920841,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
10.0,92.901,0.1785749142516957,89.31349440188568,0.6184652985221551,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
11.0,93.347,0.176014203972293,89.60518562168532,0.4311787420135936,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
12.0,93.787,0.1926681084144406,89.60518562168531,0.4841031089815193,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
13.0,94.111,0.1457017501610754,89.69063052445492,0.4653875206626549,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
14.0,94.456,0.1344023809312926,89.80259281084267,0.4561557143463637,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
15.0,94.7,0.1118033988749905,89.87035945786684,0.5125000566920213,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
16.0,95.006,0.1440971894243616,89.89982321744256,0.4293629047011654,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
17.0,95.269,0.1534568343215764,90.15910430170892,0.405488133620241,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
18.0,95.438,0.1264752940300996,89.99410724808487,0.509510107748198,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
19.0,95.68800000000002,0.1509834428008576,90.11490866234531,0.5198078598814787,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
20.0,95.903,0.1584329511181326,90.04714201532116,0.4279452599968268,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
21.0,96.093,0.1527776161615268,90.07955215085444,0.3764103394909727,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
22.0,96.338,0.1403424383427878,90.16499705362403,0.3261839128602958,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
23.0,96.451,0.1320189380354169,90.17972893341192,0.3601455018526168,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
24.0,96.625,0.1623730273167321,90.22097819681792,0.3600008457341085,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
25.0,96.794,0.1286234815265109,90.24749558043608,0.3687092565930643,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
26.0,96.974,0.1229796731171462,90.18267530936949,0.4600122347972589,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
27.0,97.165,0.1449310180741174,90.24749558043608,0.4310176440285174,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
28.0,97.29,0.1389964028311541,90.1708898055392,0.422103705811343,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
29.0,97.432,0.156064089399192,90.2857984678845,0.3170744098671269,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
30.0,97.594,0.1369817506093392,90.27990571596936,0.3788012922135412,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
31.0,97.75,0.1197497390393827,90.24160282852094,0.3859190177968899,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
32.0,97.845,0.1576229678695336,90.2857984678845,0.350371056849713,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
33.0,97.977,0.1121650569473428,90.22981732469064,0.4536270890729,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
34.0,98.094,0.1423516771941955,90.3064230995875,0.3866381780158924,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
35.0,98.191,0.0943874991722978,90.31526222746024,0.3734001199009391,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
36.0,98.28,0.1058300524425876,90.2740129640542,0.3185494366204229,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
37.0,98.411,0.0999449848666747,90.2975839717148,0.3821325808111508,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
38.0,98.49800000000002,0.0897552226892637,90.26812021213908,0.3405709839034498,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
39.0,98.563,0.0855628424025299,90.1885680612846,0.3173344023061009,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
40.0,98.661,0.074759614766263,90.38892162639954,0.3574234574925343,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
41.0,98.761,0.0681835757349223,90.28285209192693,0.3197327039776215,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
42.0,98.804,0.0822435407798102,90.26812021213908,0.3395498558007313,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
43.0,98.876,0.0631189353522418,90.30936947554508,0.4440042908731949,False,0,cp+r,imagenettetl,100,131,bnn-imagenettetl-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,3394,False,False
