step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,epochs,input_dim,algo_perc,seed,device,rescale,thetam,binarize_dataset,thermometer_bits,algo_layer,prob_reinforcement,bs,freeze_last,k,n_runs,grouping_factor,same_random_classifier,log,save_results,freeze_first,train_dim,layers,rm_pixel,project,prob_update,dataset,rob,epoch_interval_switch,val_dim
50.0,99.3142857142857,0.0887785596473666,90.1296405421332,0.2378053184918865,50,,cp+r,42,0,False,0,True,0,one,0.5,100,False,1,10,105,False,False,True,False,,525_525,False,bnn-imagenettetl-localloss-train-out,1,imagenettetl,131,0,3394
50.0,97.44777777777776,0.1784985389157625,88.69573757611471,0.5703096107231592,50,,cp+r,42,0,False,0,True,0,one,0.5,100,False,1,10,135,False,False,True,False,,135_135,False,bnn-imagenettetl-localloss-train-out,1,imagenettetl,33,0,3394
50.0,97.611,0.4285662142539934,84.50795521508545,0.6950949882617844,50,,cp+r,42,0,False,0,True,0,one,0.5,100,False,1,10,35,False,False,True,False,,35_35,False,bnn-imagenettetl-localloss-train-out,1,imagenettetl,8,0,3394
