algo_layer,algo_perc,binarize_dataset,bs,dataset,device,epoch_interval_switch,epochs,freeze_first,freeze_last,grouping_factor,input_dim,k,layers,log,n_runs,prob_reinforcement,prob_update,project,rescale,rm_pixel,rob,same_random_classifier,save_results,seed,thermometer_bits,thetam,step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,train_dim,val_dim
one,cp+r,False,32,uci_aids,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,90.3679906542056,0.944547455001939,85.80796252927401,1.248926616016243,,0.2
one,cp+r,False,32,uci_aids,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,93.05490654205607,0.3360041359408789,88.14988290398125,1.2878432866386444,,0.2
one,cp+r,False,32,uci_aids,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,92.37733644859811,0.4396389852262576,88.0327868852459,1.0015646267139635,,0.2
one,cp+r,False,32,uci_blood,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,75.12520868113522,1.583778460852277,71.14093959731545,3.001433526845355,,0.2
one,cp+r,False,32,uci_blood,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,81.40233722871452,0.9768773848632925,77.85234899328859,3.3557046979865763,,0.2
one,cp+r,False,32,uci_blood,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,80.20033388981638,0.9449730683195244,76.91275167785236,2.897588341600388,,0.2
one,cp+r,False,32,uci_cancer,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,97.76785714285714,0.6788063503124361,96.61870503597125,0.9128473050683096,,0.2
one,cp+r,False,32,uci_cancer,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,98.08928571428572,0.3297533091539199,97.12230215827338,1.1145275816424207,,0.2
one,cp+r,False,32,uci_cancer,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,97.78571428571428,0.3214285714285688,97.12230215827338,1.2460797176754497,,0.2
one,cp+r,False,32,uci_car,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,82.68257411424439,1.18910803242219,83.30434782608697,2.747361301118326,,0.2
one,cp+r,False,32,uci_car,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,93.0657989877079,0.6503171954243641,93.07246376811594,1.5416911474750394,,0.2
one,cp+r,False,32,uci_car,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,88.00433839479392,1.116639294731205,86.40579710144928,1.9202761826147128,,0.2
one,cp+r,False,32,uci_chess,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,91.5877982010168,0.6619482002009143,91.5962441314554,1.3910417751901638,,0.2
one,cp+r,False,32,uci_chess,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,94.69691044192412,0.1972549114261819,93.67762128325508,0.7212343425228731,,0.2
one,cp+r,False,32,uci_chess,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,92.62807978099336,0.6306635063060844,91.89358372456964,0.956538766193184,,0.2
one,cp+r,False,32,uci_credit,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,76.87208333333334,0.4493631682107989,75.46166666666667,1.9663707404477144,,0.2
one,cp+r,False,32,uci_credit,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,82.23791666666666,0.135982152627955,81.94333333333334,0.4813868852942845,,0.2
one,cp+r,False,32,uci_credit,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,81.93,0.1895242581952123,81.54833333333333,0.5943460458539473,,0.2
one,cp+r,False,32,uci_digits,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,84.31089379122128,3.131227495913854,84.09918107370336,3.1871984324992444,,0.2
one,cp+r,False,32,uci_digits,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,99.4632704116443,0.085972518405438,98.61237488626024,0.2357460674801018,,0.2
one,cp+r,False,32,uci_digits,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,98.26586308846942,0.1551059206589577,97.05186533212012,0.4744679826927624,,0.2
one,cp+r,False,32,uci_glioma,0,0,50,False,True,15,,1,15_15,False,10,0.5,1,bnn-uci-datasets-32,False,False,3,False,True,42,0,0,50.0,84.44940476190476,1.3899956616271862,82.39520958083833,3.503889542114441,,0.2
one,cp+r,False,32,uci_glioma,0,0,50,False,True,45,,1,135_135,False,10,0.5,1,bnn-uci-datasets-32,False,False,33,False,True,42,0,0,50.0,88.13988095238095,0.4660851120049324,86.94610778443113,2.2848843147711277,,0.2
one,cp+r,False,32,uci_glioma,0,0,50,False,True,55,,1,55_55,False,10,0.5,1,bnn-uci-datasets-32,False,False,13,False,True,42,0,0,50.0,87.09821428571429,0.51998229790643,85.32934131736526,2.3839555972927413,,0.2
