step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
32,0.999717503786087,6.0266269301461294e-05,0.8430199980735779,0.003310534447653,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
33,0.999795001745224,5.894930737482351e-05,0.8430299937725068,0.0034266796957395,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
34,0.9998624920845032,6.447332787530345e-05,0.8431799948215485,0.0033017534984878,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
35,0.9999049961566924,3.840279157012501e-05,0.8431399941444397,0.0031799947316291,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
36,0.9999350011348724,3.905086220936682e-05,0.8428799986839295,0.0031760935788889,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
37,0.999955004453659,2.692254711961032e-05,0.8429500043392182,0.003271157230204,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
38,0.9999650061130524,2.7837021271196865e-05,0.8429899990558625,0.0031926328530405,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
39,0.9999750077724456,2.499819157176977e-05,0.8430600047111512,0.0032125448394352,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
40,0.9999875128269196,1.2487173080444336e-05,0.84307000041008,0.0033301710801083,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
41,0.9999925076961518,1.1444683171430211e-05,0.8432399928569794,0.0032982335249512,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
42,0.999997502565384,7.492303848266601e-06,0.8433799982070923,0.0032510900298892,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
43,1.0,0.0,0.8432699978351593,0.0033609665435973,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
44,1.0,0.0,0.8433599948883057,0.0033371256491564,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
45,1.0,0.0,0.8433600068092346,0.0032286876259632,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
46,1.0,0.0,0.8433099985122681,0.0031851084227246,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
47,1.0,0.0,0.8433100044727325,0.0033446779152263,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
48,1.0,0.0,0.8433200120925903,0.0033268008772606,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
49,1.0,0.0,0.8433000028133393,0.0032233509194844,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
0,0.6685750007629394,0.0027732434153957,0.7698400020599365,0.0141822473653231,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
1,0.8064325034618378,0.0009922975297623,0.8070900022983551,0.0102182735994632,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
2,0.8393200099468231,0.001186216473133,0.8215700030326843,0.00857403428441,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
3,0.8598299920558929,0.0012954569885082,0.8285600006580353,0.0069417852128055,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
4,0.8761650025844574,0.0014947542558587,0.8324999988079071,0.0065147439673508,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
5,0.8902949929237366,0.0010682811163876,0.8350399971008301,0.0062812663834949,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
6,0.9024024963378906,0.0010349802637375,0.8361099898815155,0.0058932919868836,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
7,0.914190000295639,0.0011242326848457,0.8370499968528747,0.006271878205821,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
8,0.9249724924564362,0.001198460474177,0.837229996919632,0.0063017564244369,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
9,0.9353424966335296,0.0010495865300158,0.8369799971580505,0.0059239903427972,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
10,0.9450450003147124,0.0013718995287498,0.8363700032234191,0.0060527860986105,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
11,0.9543324947357178,0.0011266200464303,0.8361399948596955,0.0061253968168675,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
12,0.9629225075244904,0.0011514889283794,0.8359100043773651,0.005898555463596,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
13,0.9708075106143952,0.0009791513782745,0.8359299957752228,0.0059639014358268,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
14,0.9771874964237212,0.0008692073677241,0.8358399927616119,0.0055728313696257,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
15,0.9822624981403352,0.0008738628780315,0.8360800087451935,0.005783040851788,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
16,0.9848999977111816,0.0015979792624797,0.8347299993038177,0.0092220548762416,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
17,0.9876649916172028,0.0011927508077829,0.8361800014972687,0.005520109719672,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
18,0.9901624977588652,0.0009808906551186,0.8342299938201905,0.011183104431796,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
19,0.9935200035572052,0.0012323707445172,0.8371399998664856,0.0046111174992982,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
20,0.9964275062084198,0.0007844186094577,0.8384199976921082,0.003783071437824,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
21,0.9977850019931792,0.0008423246361681,0.838540005683899,0.0038479095609579,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
22,0.99879749417305,0.0001485218081709,0.8385999977588654,0.003317229467685,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
23,0.9992300033569336,0.0001672650859981,0.838729989528656,0.0033873511290272,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
24,0.999495005607605,9.669603379376984e-05,0.8387500047683716,0.0037344996624164,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
25,0.9996750056743622,6.020559070261462e-05,0.8389299988746644,0.003614432688255,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
26,0.9998025059700012,3.945154128287569e-05,0.8387900054454803,0.0035976287230962,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
27,0.9998999953269958,4.744203834267934e-05,0.8385500073432922,0.0037443898123647,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
28,0.9999475002288818,3.0524629750494964e-05,0.8387099981307984,0.0039893457341808,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
29,0.9999775052070616,2.0768933775321627e-05,0.8389400005340576,0.0042797633803473,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
30,0.9999850153923034,1.2234880950762647e-05,0.8389299988746644,0.0045199592368167,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
31,0.9999950051307678,9.989738464355468e-06,0.8391000092029571,0.0043664693753678,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
32,1.0,0.0,0.839110004901886,0.0044914218638712,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
33,1.0,0.0,0.8392899990081787,0.0043697678083404,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
34,1.0,0.0,0.8390799999237061,0.0040960502047452,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
35,1.0,0.0,0.839330005645752,0.0040264280629822,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
36,1.0,0.0,0.8394599974155426,0.0039787421395707,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
37,1.0,0.0,0.8394799947738647,0.0039073794830407,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
38,1.0,0.0,0.8394099950790406,0.0038066943370597,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
39,1.0,0.0,0.8395300030708313,0.0037395305856882,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
40,1.0,0.0,0.8395399987697602,0.0037561178672044,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
41,1.0,0.0,0.839410001039505,0.0036713594542499,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
42,1.0,0.0,0.8394500017166138,0.0037143640014652,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
43,1.0,0.0,0.839440006017685,0.0037013970534135,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
44,1.0,0.0,0.8394699990749359,0.0034421201099039,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
45,1.0,0.0,0.839409989118576,0.0034027799697868,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
46,1.0,0.0,0.8393899977207184,0.0034806394514846,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
47,1.0,0.0,0.8393500089645386,0.0036335307878684,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
48,1.0,0.0,0.8392899990081787,0.0036710807241116,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
49,1.0,0.0,0.8393500030040741,0.0037084312164106,0.01,0.0,42,1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
0,0.534375,0.0067062118355491,0.718120002746582,0.0099263093545294,0.01,0.0,42,1035_1035_1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
