layers,grouping_factor,freeze_first,epoch_interval_switch,step,mean_val_acc,std_val_acc
135,1,False,0,50,65.29299999999998,10.345454235234588
135,5,False,0,50,75.45599999999999,1.5979166992611904
135,135,False,0,50,81.493,0.5793684300838098
135,15,False,0,50,79.22100000000002,0.4893408264639721
135,45,False,0,50,80.953,0.543692110583841
2025,45,False,0,50,82.673,0.3134414707015566
2025,25,False,0,50,81.54299999999999,0.2352799750651683
2025,2025,False,0,50,77.314,0.5245993179984558
2025,5,False,0,50,77.247,2.2088008310192
2025,15,False,0,50,80.33900000000001,0.3940234059601609
2025,135,False,0,50,83.381,0.287032712034323
2025,675,False,0,50,80.90599999999999,0.2867131745219324
2025,75,False,0,50,83.307,0.3259533027222697
2025,1,False,0,50,70.996,7.823930810873351
2025,405,False,0,50,81.94200000000001,0.212644721960781
525,525,False,0,50,81.018,0.209433097246406
525,5,False,0,50,76.61499999999998,2.7137274488545566
525,25,False,0,50,81.325,0.2467679972047529
525,75,False,0,50,83.023,0.2488216675095279
525,175,False,0,50,82.795,0.2139184683731405
525,15,False,0,50,80.253,0.3193761279606065
525,105,False,0,50,82.94500000000001,0.2953058677973656
525,1,False,0,50,70.15799999999999,5.225092875304282
525,35,False,0,50,81.974,0.1958003518326193
75,25,False,0,50,79.091,0.6357925937145095
75,15,False,0,50,77.95,0.7579504527928532
75,5,False,0,50,74.83800000000001,1.842690062562518
75,1,False,0,50,65.791,10.749765320435811
75,75,False,0,50,79.928,0.7549657828890893
