step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
33,0.9998800039291382,0.0001452662871069,0.7711099982261658,0.0113588326225212,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
34,0.9999024987220764,0.0001075112550751,0.7712399959564209,0.0113539605023235,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
35,0.9999150037765504,8.889032341009743e-05,0.7710999965667724,0.0112427769827952,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
36,0.9999225080013276,7.619839441358814e-05,0.7713200092315674,0.0109512325181365,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
37,0.9999225080013276,7.619839441358814e-05,0.7714600026607513,0.0106171739049988,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
38,0.9999325096607208,7.420628447532992e-05,0.7713199973106384,0.0104170828427502,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
39,0.9999350070953368,7.599387540118183e-05,0.7713699996471405,0.0102451909345894,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
40,0.9999400079250336,7.176129049501566e-05,0.7715200006961822,0.010105814096567,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
41,0.9999400079250336,7.176129049501566e-05,0.7715399980545044,0.0100548642120534,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
42,0.9999425053596496,7.163059055169433e-05,0.7715999960899353,0.010157758023106,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
43,0.9999475121498108,7.11041302964985e-05,0.7714600026607513,0.0102656884102164,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
44,0.9999500095844268,7.070766162902575e-05,0.7715600073337555,0.0101581722392087,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
45,0.9999500095844268,7.070766162902575e-05,0.7716000020503998,0.010077297267699,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
46,0.9999525129795076,7.110475910250122e-05,0.7717100024223328,0.0101679375498388,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
47,0.9999550104141236,6.40358184113595e-05,0.7717399954795837,0.0101762648953249,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
48,0.9999550104141236,6.40358184113595e-05,0.7717399954795837,0.0101020004057076,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
49,0.999957513809204,5.7058538627880485e-05,0.7717699944972992,0.0100981265944122,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
0,0.5834724962711334,0.0274523149946894,0.7459800004959106,0.0093397899923781,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
1,0.7771874904632569,0.0067930008061067,0.7887399971485138,0.0082713018789253,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
2,0.8197400033473968,0.0042604409495644,0.804040002822876,0.0065425153954705,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
3,0.8473975002765656,0.0039708325836113,0.8109300017356873,0.0059299263628799,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
4,0.869352501630783,0.0039866130668891,0.8142099976539612,0.0061662760279062,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
5,0.8884900093078614,0.0041068773262243,0.8157299935817719,0.0057177031700784,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
6,0.9063350021839142,0.0038609587447761,0.8149099946022034,0.006265536116044,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
7,0.9226074993610384,0.0039580783218209,0.8130699992179871,0.0063356254869723,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
8,0.9378100037574768,0.003905931719003,0.8108699917793274,0.0065219716806778,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
9,0.9517874956130982,0.0034523552991711,0.8081299960613251,0.0068433919863994,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
10,0.964029997587204,0.0031209592362021,0.8052699983119964,0.0067152228122625,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
11,0.9746074974536896,0.0029421547335949,0.8030799984931946,0.0072462164656644,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
12,0.982719999551773,0.0021567038370939,0.8013799965381623,0.0062657506969696,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
13,0.9885300040245056,0.0016328616755223,0.8003100037574769,0.0062511494156318,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
14,0.992612498998642,0.0016523592654165,0.8001299977302552,0.005382952902655,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
15,0.995235002040863,0.0017453277833802,0.7996699988842011,0.0048181088203998,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
16,0.997224998474121,0.0010617140294775,0.7993400037288666,0.004866050554807,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
17,0.9984674990177156,0.0008089345656281,0.79932000041008,0.0047076082494868,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
18,0.9987750053405762,0.0012585183292542,0.7994700014591217,0.0039337117265597,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
19,0.9996450066566468,0.0002218744769674,0.8000699996948242,0.0042398148638164,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
20,0.9963450074195862,0.0071785140405278,0.8002899944782257,0.0040670521238511,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
21,0.9997500061988832,0.0005012451096588,0.8003999948501587,0.0039291238505312,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
22,0.9999450027942658,6.103655932953927e-05,0.8005000054836273,0.0036199500452833,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
23,0.9999774992465972,2.3588552289718768e-05,0.8008599996566772,0.0035006181669496,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
24,0.9999825060367584,1.952543451630466e-05,0.8009599924087525,0.0034459297711347,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
25,0.9999825060367584,1.952543451630466e-05,0.8011799991130829,0.0033665471430232,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
26,0.9999900043010712,1.658048771014889e-05,0.8010599911212921,0.0032330126955704,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
27,0.9999925017356872,1.6007211045716545e-05,0.8009999930858612,0.003194677364479,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
28,0.9999925017356872,1.6007211045716545e-05,0.800900000333786,0.0033873350259932,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
29,0.9999925017356872,1.6007211045716545e-05,0.8007199943065644,0.0034556708416327,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
30,0.9999950051307678,9.989738464355468e-06,0.8007900059223175,0.0034786424300947,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
31,0.9999950051307678,9.989738464355468e-06,0.8007999897003174,0.0036138646581072,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
32,0.9999950051307678,9.989738464355468e-06,0.8008900046348572,0.0036448338877894,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
33,0.9999950051307678,9.989738464355468e-06,0.8006899952888489,0.003645119187135,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
34,0.999997502565384,7.492303848266601e-06,0.8006099998950958,0.0036139827690872,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
35,0.999997502565384,7.492303848266601e-06,0.8005599975585938,0.0035497113916307,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
36,0.999997502565384,7.492303848266601e-06,0.8007099986076355,0.003492410624301,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
37,0.999997502565384,7.492303848266601e-06,0.8006600141525269,0.0034586695981656,0.01,42,18_18,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
