step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,prob_update,freeze_first,input_dim,rob,freeze_last,grouping_factor,k,seed,device,binarize_dataset,rm_pixel,dataset,epochs,log,algo_perc,layers,val_dim,same_random_classifier,algo_layer,thetam,bs,train_dim,n_runs,prob_reinforcement,save_results,thermometer_bits,project,epoch_interval_switch,rescale
50.0,94.951,0.0875942349701157,83.13,0.2240089283934904,1,False,,131,False,105,1,42,0,True,False,cifar10tl,50,False,cp+r,525_525,10000,False,one,0,100,,10,0.5,True,0,bnn-cifar10tl-localloss-train-out,0,False
50.0,91.6775,0.2639057596946289,81.31899999999999,0.4070000000000019,1,False,,33,False,135,1,42,0,True,False,cifar10tl,50,False,cp+r,135_135,10000,False,one,0,100,,10,0.5,True,0,bnn-cifar10tl-localloss-train-out,0,False
50.0,89.01425,1.203510516156794,73.441,1.0368939193572275,1,False,,8,False,35,1,42,0,True,False,cifar10tl,50,False,cp+r,35_35,10000,False,one,0,100,,10,0.5,True,0,bnn-cifar10tl-localloss-train-out,0,False
