step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
49,0.98145250082016,0.0191487740778214,0.7555699944496155,0.0246800723592424,0.001,42,17_17,9216,10,mlp-bcifar10tl-adam,0,10,True,bcifar10tl
49,0.994760000705719,0.0006986797116018,0.7886500000953675,0.0073480967002615,0.001,42,35_35,9216,10,mlp-bcifar10tl-adam,0,10,True,bcifar10tl
49,0.2582874976098537,0.1974431205924619,0.2208200000226497,0.1406788632561321,0.001,42,3_3,9216,10,mlp-bcifar10tl-adam,0,10,True,bcifar10tl
49,0.6068325042724609,0.2135229233431493,0.4545300006866455,0.1437831813136618,0.001,42,5_5,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
49,0.9051550030708312,0.042105280092863,0.6754599988460541,0.0285942398769733,0.001,42,9_9,9216,10,mlp-bcifar10tl-adam,0,10,True,bcifar10tl
